city id,city,country,lat,lon,temp_astronomical_twilight_end,hum_astronomical_twilight_end,cloudiness_astronomical_twilight_end,windiness_astronomical_twilight_end
462022,Zubovo,RU,60.318,36.9728,-7.49,90,65,6.96
3996063,Mexico,MX,23.0,-102.0,61.41,29,0,12.62
4352577,Crisfield,US,37.9835,-75.8538,30.33,74,1,5.75
1489126,Tsementnozavodskiy,RU,67.6167,64.1,-34.51,83,42,1.79
2255404,Pool Department,CG,-3.5,15.0,76.59,73,100,2.04
5881544,Ofu,AS,-14.1753,-169.6775,78.66,86,100,21.68
5939424,Dina,CA,52.9335,-110.0849,39.2,65,90,19.57
4163379,Marathon,US,24.7138,-81.0903,72.52,73,20,20.71
2021026,Khaty,RU,63.6256,116.6703,-19.59,87,96,4.97
2073890,Coolgardie,AU,-30.95,121.1667,82.4,26,0,6.91
7839427,Karoonda East Murray,AU,-34.9285,140.0248,61.56,65,0,13.4
3893656,Copiapo,CL,-27.3667,-70.3333,60.8,82,90,10.36
4291056,Elkfork,US,37.9648,-83.1329,36.95,65,1,3.44
1545752,Port Mathurin,MU,-19.6833,63.4167,79.95,79,35,18.68
1280943,Jinta,CN,39.9833,98.8667,42.49,54,97,3.98
6070684,McLeod Lake,CA,54.9832,-123.0364,39.2,65,1,6.91
2181997,Takaka,NZ,-40.85,172.8,60.8,88,63,4.0
779683,Hammerfest,NO,70.6634,23.6821,13.6,79,40,16.11
2355404,Solenzo,BF,12.1833,-4.0833,83.43,14,86,7.47
909887,Luangwa,ZM,-15.6167,30.4167,76.46,84,92,2.84
3862771,Departamento de Capayán,AR,-28.8333,-66.0,80.01,72,7,5.01
3395497,Maracaçumé,BR,-2.0428,-45.9592,74.77,95,94,2.21
2157076,Moonbi,AU,-31.0167,151.0667,67.53,68,37,9.22
3665314,Anori,BR,-8.3333,-67.3333,72.19,96,100,2.15
6940753,Ghayl Ba Wazir,YE,14.8778,49.0245,60.82,77,0,5.06
875996,Moxico Province,AO,-12.8487,20.9327,67.01,86,45,3.15
7839600,Leonora,AU,-28.3942,121.2596,85.23,17,0,11.54
1490686,Sukhoy Log,RU,56.9094,62.0296,-2.16,92,100,2.77
2455456,Kinmparana,ML,12.8402,-4.9199,81.75,15,18,9.44
5992554,Kinistino,CA,52.95,-105.0343,31.91,80,98,19.57
5829425,Kemmerer,US,41.7925,-110.5377,21.9,79,40,12.66
3728474,Cap-Haitien,HT,19.7578,-72.2042,76.91,75,8,17.47
130801,Ilam Province,IR,33.1667,47.0,43.21,60,38,4.79
2764957,Solden,AT,46.9667,11.0,43.52,49,0,4.61
2057031,Mokdale,ID,-10.7333,123.0333,80.91,83,74,10.22
