city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
2141722,Bouloupari,NC,-21.8667,166.05,83.84,74,75,3.44
2654970,Brae,GB,60.3964,-1.353,44.6,87,0,19.57
4032243,Vaini,TO,-21.2,-175.2,78.8,73,20,10.36
1507390,Dikson,RU,73.5069,80.5464,-5.93,92,100,3.71
4199928,Helena,US,32.0738,-82.9146,58.1,58,75,9.22
7648112,Colonia,FM,9.5164,138.1217,82.4,78,40,8.05
7073137,Muzhijie,CN,33.9622,112.1652,67.46,21,0,5.7
3691954,Sechura,PE,-5.5569,-80.8222,76.86,62,93,17.49
1793724,Tai’an,CN,36.1853,117.12,65.61,30,93,2.51
5861202,Eagle Village,US,64.7806,-141.1136,-14.8,64,1,2.64
631780,Vieremä,FI,63.8384,26.997,5.0,78,0,14.97
1580541,Hoi An,VN,15.8794,108.335,73.4,73,20,4.61
5847387,Kahuku,US,21.6803,-157.9511,74.21,83,90,3.44
533964,Loukhi,RU,66.0764,33.0381,-16.87,89,100,6.46
7645768,Sorol,FM,8.1435,140.394,82.45,79,100,19.28
2152721,Pooncarie,AU,-33.3833,142.5667,88.23,27,5,16.71
1569805,Tinh Phu Yen,VN,13.1667,109.1667,64.35,89,17,6.64
7670994,Kayangel,PW,8.0823,134.7173,81.86,78,73,11.48
3924826,Rondônia,BR,-10.8667,-61.95,72.46,97,87,2.26
503254,Radishchevo,RU,52.85,47.8833,0.05,92,100,4.83
382250,Sabun,SS,4.5361,29.2578,87.26,18,68,3.69
3446232,Tramandaí,BR,-29.9847,-50.1336,75.99,75,0,12.19
1507636,Chunskiy,RU,56.0815,99.6342,-6.9,89,100,1.5
1129678,Qarah Bāgh,AF,34.9402,61.7759,41.97,66,100,12.68
2380519,Chingueṭṭi,MR,20.4404,-12.2622,73.13,18,0,9.69
1254133,Tuensang,IN,26.2833,94.8333,60.64,61,1,1.32
506528,Popov,RU,48.1818,42.8533,31.03,96,100,12.66
7839404,Katherine,AU,-14.6501,132.1741,78.8,100,90,1.14
370247,Medingbor,SS,6.4598,29.3997,89.53,14,9,3.22
2126682,Bilibino,RU,68.0546,166.4372,-24.81,74,7,1.79
98862,An Najaf,IQ,31.25,43.8333,59.05,36,0,10.25
6161366,Taloyoak,CA,69.5372,-93.5211,-27.4,68,75,9.22
2027748,Amur Oblast,RU,54.0,128.0,-12.87,89,75,2.28
1182998,Bela,PK,26.2271,66.3111,82.27,15,0,8.34
2524459,Lampedusa,IT,35.5,12.6,59.0,100,19,18.41
1529195,Shihezi,CN,44.3,86.0333,30.06,98,99,4.65
1270351,Haridwar,IN,29.9667,78.1667,69.8,64,20,3.44
2199295,Northern,FJ,-16.5,179.5,73.53,95,83,4.27
