city id,city,country,lat,lon,temp_sunrise,hum_sunrise,cloudiness_sunrise,windiness_sunrise
2483761,Reggane,DZ,26.7158,0.1714,67.33,23,0,9.06
2143437,Windellama,AU,-35.022,149.8728,60.17,100,90,6.91
3691324,Tocache,PE,-8.1842,-76.5125,67.86,89,13,0.25
1802431,Longsheng,CN,25.7936,110.0092,55.4,88,90,3.06
3699427,Barranca,PE,-4.8333,-76.7,72.32,87,56,2.21
2417834,Mamou,GN,10.15,-11.95,73.69,77,90,0.85
96205,Halabja,IQ,35.1778,45.9861,40.51,84,60,3.51
2120047,Ust'-Omchug,RU,61.15,149.6333,-15.18,81,100,6.62
3371199,Erongo,NA,-22.0833,15.3333,63.14,58,47,5.37
1279094,Akot,IN,21.0964,77.0586,66.88,30,93,3.6
2478217,Tamanrasset Province,DZ,23.75,4.6667,51.94,38,0,3.62
101760,Sulţānah,SA,24.4926,39.5857,55.4,30,0,3.44
219057,Beni,CD,0.5,29.4667,61.36,88,93,1.21
2446796,Bilma,NE,18.6853,12.9164,59.32,30,76,4.92
3386495,Teresinha,BR,0.9667,-52.0333,70.18,98,99,1.99
1668352,Tainan,TW,23.0,120.1888,56.46,81,40,2.3
5955887,Fort Liard,CA,60.2334,-123.4698,-8.75,88,100,8.61
3853786,Ingeniero Jacobacci,AR,-41.3427,-69.5448,49.3,49,2,8.34
5432024,Mount Pearl,US,38.9625,-102.7894,26.1,74,1,23.02
3601402,Savannah Bight,HN,16.45,-85.85,75.67,86,73,22.75
3394892,Miguel Alves,BR,-4.1656,-42.8953,71.33,97,55,1.19
1802750,Lizhai,CN,29.0084,117.9189,51.96,62,0,3.11
5731397,Hines,US,43.564,-119.081,21.61,86,90,6.02
610743,Aqqystau,KZ,47.2333,51.0,14.0,85,68,6.71
1714769,Dinalongan,PH,16.1404,121.9573,66.47,72,99,8.39
3336899,Aragon,ES,41.0,-1.0,45.99,100,75,14.97
3349234,Kwanza Sul Province,AO,-10.827,15.032,60.58,94,100,0.31
6087172,Nestor Falls,CA,49.1167,-93.9337,10.74,85,98,5.75
7839397,Torres,AU,-10.7038,142.1796,80.6,89,90,3.44
3849980,La Maruja,AR,-35.6736,-64.94,59.9,58,0,6.85
1000543,Graaff-Reinet,ZA,-32.2522,24.5308,61.0,75,96,4.92
4017700,Baja California,MX,30.0,-115.0,53.89,35,0,31.38
608879,Mangistauskaya Oblast’,KZ,44.0,54.0,22.96,92,0,7.96
1035025,Nacala,MZ,-14.5428,40.6728,76.71,86,100,3.11
710007,Dmytrivka,UA,47.9361,38.9366,24.6,86,68,7.49
2236053,Abong Mbang,CM,3.9833,13.1833,62.49,65,38,2.3
2146661,Tibooburra,AU,-29.4333,142.0167,82.29,29,0,7.36
8030545,Crooked Island and Long Cay District,BS,22.7336,-74.2153,76.59,73,4,17.85
143052,Ardestān,IR,33.3761,52.3694,39.92,61,0,1.54
2123979,Kuril'sk,RU,45.2333,147.8833,22.86,95,98,20.45
2742994,Alvares,PT,40.0171,-8.0993,44.29,94,100,7.0
2593112,Extremadura,ES,39.0,-6.0,48.0,91,100,7.0
4013688,Cloete,MX,27.9167,-101.1667,45.19,83,0,4.5
113659,Tabas,IR,33.5959,56.9244,49.06,44,0,4.72
2667876,Torsby,SE,60.1353,13.0082,37.4,100,90,9.22
1895695,Kushima,JP,31.4583,131.2333,50.04,82,20,8.05
4634931,Knox,US,36.0168,-83.9332,25.74,100,1,3.09
2314300,Kinshasa City,CD,-4.5,15.5,76.14,88,75,1.07
2159441,Lower Tully,AU,-18.0,146.0167,73.06,94,100,1.83
2565056,Punta Umbria,ES,37.1821,-6.9661,51.01,81,100,8.99
2185172,Owaka,NZ,-46.45,169.6667,51.01,93,6,1.99
1529001,Yuli,CN,41.3306,86.2578,38.17,68,18,2.59
5040822,Park Rapids,US,46.9222,-95.0586,19.99,86,90,6.91
1500962,Kyzyl-Khaya,RU,50.0499,89.8782,1.49,71,0,5.55
2125742,Enken,RU,57.7667,140.2,1.04,81,100,7.7
2255329,Sangha Department,CG,1.3333,15.5,69.22,75,51,1.54
1511646,Andra,RU,62.5147,65.8878,-22.7,86,100,7.27
331038,Mendī,ET,9.8,35.1,53.91,41,19,0.98
2120245,Ugol'nyye Kopi,RU,64.7333,177.7,-32.8,68,0,6.71
2457163,Gao,ML,16.2717,-0.0447,64.69,22,2,8.7
2449067,Timbuktu,ML,16.7735,-3.0074,68.09,20,0,8.88
1850822,Taketomi,JP,24.3307,124.0851,57.2,77,40,3.44
5878818,Adak,US,51.88,-176.6581,33.8,93,75,11.5
4054566,Centreville,US,32.9446,-87.1386,32.59,74,1,5.75
1655842,Laos,LA,18.0,105.0,50.83,85,40,3.04
3148569,Laerdal,NO,61.098,7.4816,35.96,84,100,8.99
2663077,Vikarbyn,SE,60.9167,15.0167,35.26,100,100,4.61
1153427,Fang,TH,19.9169,99.2145,63.66,100,24,2.3
1796339,Shancheng,CN,36.9568,107.0266,41.81,49,50,14.03
5872126,Prudhoe Bay,US,70.2553,-148.3372,-16.6,76,40,26.46
577922,Belomorsk,RU,64.5232,34.7668,-14.13,89,92,6.58
1540356,Raduzhny,RU,62.0961,77.475,-14.12,89,100,8.3
2120059,Ust'-Kamchatsk,RU,56.2367,162.5189,12.15,91,97,11.16
886843,Mashonaland Central Province,ZW,-17.0,31.0,61.45,92,89,2.77
3399445,Forquilha,BR,-3.7983,-40.2606,72.93,95,88,2.73
8020335,Sindangsari,ID,-7.7983,108.2354,76.93,80,86,5.57
225282,Ali Sabieh Region,DJ,11.25,43.0,69.19,87,54,5.73
2126785,Belaya Gora,RU,68.5333,146.4167,-37.17,82,57,3.09
3412888,Stykkisholmur,IS,65.0757,-22.7297,33.96,91,100,8.46
1856586,Mori,JP,34.8333,137.9333,48.99,74,0,1.99
1786676,Yima,CN,34.7381,111.8839,55.0,99,0,9.19
876337,Cuando Cobango Province,AO,-15.9476,19.3832,64.74,93,100,9.44
2416085,Sangarédi,GN,11.1,-13.7667,66.13,77,0,0.4
3021716,Darney,FR,48.0866,6.0492,43.09,71,0,9.22
1280679,Luring,CN,32.2667,84.2,18.86,55,0,5.86
1066702,Besalampy,MG,-16.75,44.4833,74.77,94,100,6.69
355449,Esna,EG,25.2934,32.554,46.4,66,0,3.44
6912297,Sikoroni,ML,13.0211,-9.277,71.89,22,0,4.63
